Participant	Age	Gender	Progress	Version	Duration_time	Prolific
P001	20	Femme	100	A	838	60cb5d8c2fe1b8de37adfd1f
P002	22	Homme	100	A	1025	6162b16d7c6f357e6837d263
P003	24	Homme	100	B	665	615450be902cf8803e44e4ff
P004	22	Femme	100	B	743	60ddd1477ef789973cdb775d
P005	23	Femme	100	A	793	60ec33d38d7e2724ca5a7599
P006	24	Femme	100	A	936	5ddd2fb39c84d8c995a8bf5f
P007	22	Femme	100	B	754	60c750fa33e03bdaeae60c48
P008	23	Femme	100	B	720	616dfc1a7076c9f371d6faae
P009	25	Non binaire	100	A	681	5d8661731af55f00190ad387
P010	21	Femme	100	B	830	60b6b0210f85c2e56fb13bf2
P011	23	Homme	100	A	668	5f4407f84d55e40dd21a5032
P012	22	Non binaire	100	A	635	60fcc7652d46fa30106d8a2b
P013	23	Homme	100	B	1575	5f1f04c1604e3508877cf62a
P014	21	Femme	100	A	1417	6113dbde54df19507f694f2c
P015	24	Homme	100	B	565	616c4a95398b06c2c85b32ed
P016	22	Femme	100	B	622	6106d96afd7990488b42b708
P017	25	Femme	100	A	681	614fb114cf7db7a3367e747e
P018	21	Homme	100	A	547	5fd6b0d506d52b3f2116a710
P019	25	Homme	100	B	622	5e9357540b6b656934bee970
P020	20	Homme	100	B	1185	5fc6a65816726c35aa46666d
P021	22	Femme	100	A	671	6086f7bad53c6c60da31c077
P022	22	Femme	100	B	875	61081c458f83d8940d9f71b0
P023	21	Femme	100	A	645	6109b55cd783cee327eb0130
P024	24	Homme	100	B	528	5efbce484cee781856fc95ef
P025	23	Femme	100	B	882	610185b659db06a83c4e634a
P026	32	Femme	100	A	874	5f6cec03d1db331246dc8d1b
P027	22	Femme	100	A	1226	60fd5df58130f50950508e1a
P028	19	Femme	100	B	1193	5ff5c418427939071226d204
P029	25	Femme	100	B	559	5d30eb1a18d10b001813369e
P030	20	Homme	100	A	844	6150b020eb18d40787bfed1b
P031	28	Homme	100	B	2979	6016be23044b1586fb0fc3fc
P032	25	Femme	100	B	1609	5f201637a239d00675904803
P033	32	Non binaire	100	A	661	60747b67dfbb29a6d9e39547
P034	27	Femme	100	B	785	5b8ffa34cef28400010c05d9
P035	21	Homme	100	A	3707	5e4ecc02fb5a8403a549b885
P036	26	Homme	100	A	634	5f491a28ad7baa4115492f4d
P037	24	Homme	100	B	1323	5a1be38e38ed430001be8c4c
P038	28	Homme	100	A	777	5d823bfb35fbb4000142cfaf
P039	20	Homme	100	B	1294	5e650f2ab5853c282d34820a
P040	24	Femme	100	A	1169	5796672b82f7f90001ee966e
P041	25	Homme	100	B	1612	60ca8a4125d34823ef77160e
P042	21	Homme	100	B	704	60a45e33f404ba8cb7a19cfe
